,ndcgpc,diffpc,Eucpc,reldiffpc,nodes_real,nodes_pc,ndcgpriv,diffpriv,Eucpriv,reldiffpriv,nodessimpriv,nodes_priv
118,1.0,25.0,23.08679276123039,0.10050568900126422,819.0,840.0,1.0,15.0,11.704699910719626,0.15676359039190896,0.9914529914529915,826.0
119,1.0,19.0,13.892443989449804,0.26517067003792666,819.0,800.0,1.0,12.0,8.94427190999916,0.1529709228824273,0.9853479853479854,831.0
120,1.0,26.0,26.0,0.03286978508217446,819.0,845.0,1.0,40.0,38.05259518088089,0.11946902654867256,0.9511599511599511,859.0
121,1.0,20.0,16.492422502470642,0.16308470290771176,819.0,831.0,1.0,24.0,20.396078054371138,0.16814159292035397,0.9804639804639804,803.0
122,1.0,12.0,10.198039027185569,0.35967130214917825,819.0,807.0,1.0,30.0,24.73863375370596,0.24462705436156762,0.9633699633699634,849.0
123,1.0,16.0,13.341664064126334,0.12357774968394436,819.0,803.0,1.0,7.0,5.385164807134504,0.0777496839443742,0.9914529914529915,826.0
124,1.0,23.0,21.095023109728988,0.0979772439949431,819.0,800.0,1.0,26.0,24.08318915758459,0.10176991150442477,0.9682539682539683,845.0
125,1.0,47.0,42.2965719651132,0.23166877370417194,819.0,772.0,1.0,6.0,4.242640687119285,0.1109355246523388,0.9926739926739927,825.0
126,1.0,4.0,4.0,0.14285714285714285,819.0,815.0,1.0,2.0,1.4142135623730951,0.03697850821744627,0.9975579975579976,821.0
127,1.0,20.0,15.811388300841896,0.1975347661188369,819.0,829.0,1.0,31.0,27.294688127912362,0.17699115044247787,0.9719169719169719,796.0
128,1.0,28.0,28.0,0.035398230088495575,819.0,847.0,1.0,45.0,40.311288741492746,0.22914032869785084,0.9572649572649573,854.0
129,1.0,8.0,7.0710678118654755,0.044563843236409606,819.0,825.0,1.0,11.0,9.219544457292887,0.08280657395701643,0.9914529914529915,812.0
130,1.0,20.0,15.811388300841896,0.1975347661188369,819.0,809.0,1.0,25.0,22.20360331117452,0.13495575221238937,0.9768009768009768,800.0
131,1.0,30.0,27.16615541441225,0.14127686472819215,819.0,849.0,1.0,3.0,2.23606797749979,0.03824273072060683,0.9987789987789988,818.0
132,1.0,29.0,29.0,0.03666245259165613,819.0,848.0,1.0,14.0,10.295630140987,0.18994943109987358,0.9951159951159951,823.0
133,1.0,34.0,34.0,0.04298356510745891,819.0,785.0,1.0,7.0,5.385164807134504,0.18109987357774968,0.9963369963369964,816.0
134,1.0,32.0,28.284271247461902,0.17825537294563842,819.0,787.0,1.0,23.0,17.0,0.30467762326169406,0.9719169719169719,842.0
135,1.0,48.0,37.94733192202055,0.4740834386852086,819.0,795.0,1.0,30.0,26.30589287593181,0.17572692793931732,0.9731379731379731,797.0
136,1.0,16.0,13.341664064126334,0.12357774968394436,819.0,835.0,1.0,36.0,27.313000567495326,0.4244627054361568,0.9829059829059829,805.0
137,1.0,49.0,41.0,0.3719974715549937,819.0,788.0,1.0,32.0,25.96150997149434,0.2816055625790139,0.960927960927961,787.0
138,1.0,24.0,17.88854381999832,0.3059418457648546,819.0,795.0,1.0,17.0,15.132745950421556,0.09039190897597976,0.9841269841269842,832.0
139,1.0,7.0,5.0,0.14664981036662453,819.0,818.0,1.0,30.0,25.495097567963924,0.21017699115044247,0.9633699633699634,789.0
140,1.0,17.0,12.529964086141668,0.22819216182048038,819.0,836.0,1.0,15.0,14.035668847618199,0.0534134007585335,0.9841269841269842,832.0
141,1.0,19.0,19.0,0.02402022756005057,819.0,838.0,1.0,62.0,55.44366510251645,0.3195322376738306,0.9413919413919414,867.0
142,1.0,6.0,5.0990195135927845,0.17983565107458913,819.0,813.0,1.0,10.0,7.211102550927978,0.15044247787610618,0.9975579975579976,821.0
143,1.0,42.0,31.78049716414141,0.5009481668773704,819.0,861.0,1.0,14.0,10.0,0.22439949431099873,0.9829059829059829,833.0
144,1.0,1.0,1.0,0.0012642225031605564,819.0,820.0,1.0,6.0,5.0990195135927845,0.04203539823008849,0.9926739926739927,813.0
145,1.0,57.0,50.48762224545735,0.3132111251580278,819.0,776.0,1.0,42.0,38.2099463490856,0.19089759797724398,0.9584859584859585,785.0
146,1.0,25.0,18.027756377319946,0.3761061946902655,819.0,824.0,1.0,51.0,45.39823785126467,0.2711757269279393,0.9377289377289377,870.0
147,1.0,23.0,18.027756377319946,0.23577749683944374,819.0,808.0,1.0,33.0,30.14962686336267,0.14506953223767383,0.9597069597069597,786.0
148,1.0,41.0,37.21558813185679,0.18963337547408343,819.0,786.0,1.0,22.0,17.08800749063506,0.23451327433628316,0.9877899877899878,809.0
149,1.0,17.0,15.132745950421556,0.09039190897597976,819.0,832.0,1.0,36.0,29.120439557122072,0.3211125158027813,0.9755799755799756,799.0
150,1.0,58.0,48.27007354458868,0.452275600505689,819.0,761.0,1.0,6.0,6.0,0.21428571428571427,0.9926739926739927,825.0
151,1.0,9.0,6.708203932499369,0.11472819216182048,819.0,816.0,1.0,17.0,14.317821063276353,0.12484197218710492,0.9865689865689866,808.0
152,1.0,14.0,12.165525060596439,0.0865992414664981,819.0,805.0,1.0,8.0,6.324555320336759,0.07901390644753477,0.9902319902319903,827.0
153,1.0,8.0,7.0710678118654755,0.044563843236409606,819.0,811.0,1.0,2.0,1.4142135623730951,0.03697850821744627,1.0,819.0
154,1.0,2.0,2.0,0.0025284450063211127,819.0,817.0,1.0,17.0,13.601470508735444,0.1592920353982301,0.9792429792429792,836.0
155,1.0,29.0,23.769728648009426,0.24336283185840707,819.0,836.0,1.0,12.0,12.0,0.015170670037926675,0.9853479853479854,831.0
156,1.0,29.0,27.073972741361768,0.10556257901390645,819.0,790.0,1.0,24.0,17.88854381999832,0.3059418457648546,0.9902319902319903,811.0
157,1.0,27.0,23.345235059857504,0.17193426042983564,819.0,800.0,1.0,23.0,22.02271554554524,0.06352718078381794,0.9719169719169719,796.0
158,1.0,7.0,5.385164807134504,0.0777496839443742,819.0,822.0,1.0,23.0,21.095023109728988,0.0979772439949431,0.9768009768009768,800.0
159,1.0,22.0,15.811388300841896,0.33786346396965866,819.0,823.0,1.0,24.0,22.090722034374522,0.09924146649810367,0.9706959706959707,795.0
160,1.0,26.0,18.601075237738275,0.4118204804045512,819.0,823.0,1.0,2.0,2.0,0.0025284450063211127,0.9975579975579976,821.0
161,1.0,17.0,14.317821063276353,0.12484197218710492,819.0,836.0,1.0,38.0,31.04834939252005,0.3236409608091024,0.9536019536019535,781.0
162,1.0,8.0,5.656854249492381,0.14791403286978508,819.0,819.0,1.0,9.0,6.708203932499369,0.21807838179519595,0.9963369963369964,816.0
163,1.0,1.0,1.0,0.03571428571428571,819.0,820.0,1.0,21.0,18.24828759089466,0.12989886219974714,0.9743589743589743,798.0
164,1.0,20.0,14.7648230602334,0.2664348925410872,819.0,799.0,1.0,3.0,2.23606797749979,0.07269279393173197,0.9987789987789988,818.0
165,1.0,38.0,30.364452901377952,0.3580910240202276,819.0,857.0,1.0,9.0,7.280109889280518,0.2525284450063211,0.9938949938949939,814.0
166,1.0,45.0,44.01136216933077,0.09134007585335019,819.0,776.0,1.0,29.0,26.1725046566048,0.1400126422250316,0.9645909645909646,848.0
167,1.0,7.0,5.0,0.14664981036662453,819.0,820.0,1.0,19.0,19.0,0.02402022756005057,0.9768009768009768,800.0
168,1.0,34.0,34.0,0.04298356510745891,819.0,785.0,1.0,31.0,27.294688127912362,0.17699115044247787,0.9621489621489622,788.0
169,1.0,35.0,27.51363298439521,0.3542983565107459,819.0,784.0,1.0,14.0,12.165525060596439,0.0865992414664981,0.9829059829059829,833.0
170,1.0,13.0,12.041594578792296,0.050884955752212385,819.0,806.0,1.0,6.0,4.47213595499958,0.14538558786346395,0.9975579975579976,821.0
171,1.0,55.0,50.24937810560445,0.2417825537294564,819.0,874.0,1.0,16.0,14.142135623730951,0.08912768647281921,0.9853479853479854,831.0
172,1.0,13.0,9.433981132056603,0.18868520859671303,819.0,832.0,1.0,13.0,9.848857801796104,0.15423514538558786,0.9938949938949939,824.0
173,1.0,40.0,37.12142238654117,0.15391908975979773,819.0,853.0,1.0,13.0,9.433981132056603,0.2920353982300885,0.9841269841269842,832.0
174,1.0,27.0,25.079872407968907,0.10303413400758532,819.0,792.0,1.0,41.0,39.05124837953327,0.12073324905183312,0.9548229548229549,856.0
175,1.0,14.0,12.165525060596439,0.0865992414664981,819.0,809.0,1.0,39.0,38.01315561749642,0.08375474083438686,0.9523809523809523,780.0
176,1.0,17.0,16.0312195418814,0.055941845764854614,819.0,802.0,1.0,46.0,37.36308338453881,0.4026548672566372,0.9682539682539683,845.0
177,1.0,17.0,16.0312195418814,0.055941845764854614,819.0,802.0,1.0,31.0,24.351591323771842,0.3147914032869785,0.9621489621489622,850.0
178,1.0,16.0,11.40175425099138,0.261378002528445,819.0,817.0,1.0,46.0,41.30375285612676,0.2304045512010114,0.9438339438339438,865.0
