,ndcgpc,diffpc,Eucpc,reldiffpc,nodes_real,nodes_pc,ndcgpriv,diffpriv,Eucpriv,reldiffpriv,nodessimpriv,nodes_priv,epsilon
18,1.0,408.0,331.1827290182868,3.581858407079646,819.0,589.0,0.6517714526162681,776.0,561.12921862972,11.488305941845764,0.7973137973137974,653.0,0.2
19,1.0,406.0,326.52411855787926,3.717130214917826,819.0,599.0,1.0,727.0,530.1028202150975,10.289506953223766,0.7765567765567766,636.0,0.2
20,1.0,636.0,469.3591375482105,8.486409608091025,819.0,629.0,1.0,339.0,275.835095664058,2.9434260429835652,0.7643467643467643,626.0,0.3
21,1.0,589.0,433.68306399950643,7.9446902654867255,819.0,648.0,1.0,356.0,280.8131051072937,3.5505689001264225,0.7851037851037851,643.0,0.3
22,1.0,614.0,456.6158122535837,7.907395701643489,819.0,619.0,1.0,350.0,275.7571395267945,3.5085335018963337,0.78998778998779,647.0,0.3
23,1.0,636.0,486.38462146741443,7.246207332490519,819.0,557.0,1.0,362.0,287.14108030722457,3.52370417193426,0.7753357753357754,635.0,0.3
24,1.0,583.0,431.2365939945264,7.695954487989886,819.0,640.0,1.0,314.0,253.84247083575278,2.808470290771176,0.7875457875457875,645.0,0.3
25,1.0,613.0,463.7121952245811,7.320480404551201,819.0,586.0,1.0,357.0,289.69811873741946,3.1384323640960807,0.7545787545787546,618.0,0.3
26,1.0,611.0,461.39029031829443,7.352402022756005,819.0,590.0,1.0,334.0,260.66453537065604,3.4883059418457645,0.8095238095238095,663.0,0.3
27,1.0,548.0,405.7117203138209,7.20385587863464,819.0,649.0,1.0,364.0,290.34117861577954,3.4573324905183314,0.768009768009768,629.0,0.3
28,1.0,591.0,442.7922763554035,7.361567635903919,819.0,612.0,1.0,381.0,307.9626600742369,3.4099241466498103,0.7423687423687424,608.0,0.3
29,1.0,632.0,464.27793400074484,8.619152970922883,819.0,641.0,1.0,377.0,302.768888758406,3.4737673830594185,0.7521367521367521,616.0,0.3
30,1.0,735.0,555.4070579313878,8.81826801517067,819.0,542.0,0.6517714526162681,825.0,609.3545765808278,10.964601769911505,0.6959706959706959,570.0,0.4
31,1.0,728.0,546.1446694787014,9.016118836915297,819.0,561.0,0.6517714526162681,785.0,577.4296493946254,10.638432364096081,0.7252747252747253,594.0,0.4
32,1.0,724.0,545.4044370923287,8.804361567635905,819.0,553.0,0.6517714526162681,805.0,589.9093150646123,11.111567635903919,0.7326007326007327,600.0,0.4
33,1.0,757.0,557.2297551279903,10.22408343868521,819.0,600.0,0.6517714526162681,836.0,606.2161330746651,12.184260429835652,0.768009768009768,629.0,0.4
34,1.0,722.0,545.5584295013688,8.664032869785084,819.0,547.0,0.6517714526162681,838.0,611.2233634278061,11.84228824273072,0.7411477411477412,607.0,0.4
35,1.0,666.0,507.6317562958409,7.697534766118837,819.0,551.0,0.6517714526162681,820.0,601.4465894823912,11.268331226295828,0.724053724053724,593.0,0.4
36,1.0,704.0,538.924855615326,7.986725663716814,819.0,527.0,0.6517714526162681,799.0,584.3466436970439,11.138432364096081,0.7423687423687424,608.0,0.4
37,1.0,727.0,556.9281820845484,8.222503160556258,819.0,516.0,0.6517714526162681,812.0,596.375720498412,11.085967130214918,0.7216117216117216,591.0,0.4
38,0.6517714526162681,777.0,580.4972006823117,9.801517067003791,819.0,554.0,0.6517714526162681,820.0,601.823894507355,11.233881163084703,0.7216117216117216,591.0,0.4
